CRIQU, demande : 50 MW?, results :  NOGO
sous-tirage RAM = 45.08 MW, vs limitations perenne = 0 h, temporaire = 2000 h


AMANV, demande : 50 MW?, results :  NOGO
injection RAM = 25.842000000000002 MW, vs limitations perennes = 0 h, temporaires = 2000 h
sous-tirage RAM = 21.200000000000003 MW, vs limitations perenne = 2000 h, temporaire = 0 h


NIORT, demande : 50 MW?, results :  NOGO
injection RAM = 5.199999999999999 MW, vs limitations perennes = 0 h, temporaires = 2000 h
sous-tirage RAM = 70.67999999999999 MW, vs limitations perenne = 0 h, temporaire = 2000 h


VENDI, demande : 50 MW?, results :  NOGO
injection RAM = 176.742 MW, vs limitations perennes = 2000 h, temporaires = 0 h
sous-tirage RAM = 110.00000000000001 MW, vs limitations perenne = 2000 h, temporaire = 0 h


ARPEN, demande : 50 MW?, results :  GO
injection RAM = 62.613 MW, vs limitations perennes = - h, temporaires = 1450 h
sous-tirage RAM = 46.08 MW, vs limitations perenne = - h, temporaire = - h


LIGNA, demande : 50 MW?, results :  NOGO
injection RAM = 62.010000000000005 MW, vs limitations perennes = 0 h, temporaires = 2000 h
sous-tirage RAM = 34.56 MW, vs limitations perenne = 2000 h, temporaire = 2000 h


LOISI, demande : 50 MW?, results :  NOGO
injection RAM = 21.222 MW, vs limitations perennes = 0 h, temporaires = 2000 h
sous-tirage RAM = 39.6 MW, vs limitations perenne = 0 h, temporaire = 2000 h


